Strategy,Symbol,Interval,Total Trades,Win Rate %,Profit Factor,Total PnL %,Sharpe Ratio,Max Drawdown %,Avg Trade Duration (min),Status,Error
rsi-oversold-bounce,ETHUSDT,6h,1,0.00,0.00,-0.50,0.00,0.50,1440.00,success,
rsi-oversold-bounce,ETHUSDT,8h,1,0.00,0.00,-0.58,0.00,0.58,2400.00,success,
rsi-oversold-bounce,ETHUSDT,12h,1,0.00,0.00,-0.22,0.00,0.22,720.00,success,
rsi-oversold-bounce,ETHUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,SOLUSDT,4h,2,50.00,0.85,-0.11,0.96,0.61,1200.00,success,
rsi-oversold-bounce,SOLUSDT,6h,2,100.00,Infinity,0.48,14.48,0.00,3600.00,success,
rsi-oversold-bounce,SOLUSDT,8h,1,100.00,Infinity,0.66,0.00,0.00,3840.00,success,
rsi-oversold-bounce,SOLUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,SOLUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,BNBUSDT,4h,3,66.67,4.56,0.55,9.83,0.17,960.00,success,
rsi-oversold-bounce,BNBUSDT,6h,1,100.00,Infinity,0.18,0.00,0.00,3600.00,success,
rsi-oversold-bounce,BNBUSDT,8h,3,66.67,181.22,0.24,16.73,0.01,2240.00,success,
rsi-oversold-bounce,BNBUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,BNBUSDT,1d,1,100.00,Infinity,0.50,0.00,0.00,14400.00,success,
rsi-oversold-bounce,DOTUSDT,4h,9,55.56,1.93,0.84,4.63,0.81,1280.00,success,
rsi-oversold-bounce,DOTUSDT,6h,6,33.33,1.26,0.26,1.79,0.51,1680.00,success,
rsi-oversold-bounce,DOTUSDT,8h,6,50.00,3.02,0.97,5.63,0.42,3200.00,success,
rsi-oversold-bounce,DOTUSDT,12h,4,75.00,5.15,1.27,10.47,0.31,5040.00,success,
rsi-oversold-bounce,DOTUSDT,1d,5,40.00,0.88,-0.21,-0.81,1.55,13248.00,success,
rsi-oversold-bounce,SUIUSDT,4h,6,33.33,0.70,-0.43,-2.74,1.32,720.00,success,
rsi-oversold-bounce,SUIUSDT,6h,3,33.33,2.25,0.54,4.07,0.23,1080.00,success,
rsi-oversold-bounce,SUIUSDT,8h,2,100.00,Infinity,1.19,24.70,0.00,1200.00,success,
rsi-oversold-bounce,SUIUSDT,12h,2,0.00,0.00,-1.34,-12.47,1.34,6840.00,success,
rsi-oversold-bounce,SUIUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,XRPUSDT,4h,4,25.00,0.83,-0.11,-0.35,0.41,1140.00,success,
rsi-oversold-bounce,XRPUSDT,6h,2,0.00,0.00,-0.10,-12.99,0.10,2160.00,success,
rsi-oversold-bounce,XRPUSDT,8h,2,100.00,Infinity,0.15,18.25,0.00,4800.00,success,
rsi-oversold-bounce,XRPUSDT,12h,4,50.00,2.68,0.40,4.23,0.25,5760.00,success,
rsi-oversold-bounce,XRPUSDT,1d,1,100.00,Infinity,0.39,0.00,0.00,8640.00,success,
rsi-oversold-bounce,ADAUSDT,4h,4,50.00,0.62,-0.24,-4.54,0.57,900.00,success,
rsi-oversold-bounce,ADAUSDT,6h,3,66.67,5.92,0.32,7.93,0.07,3600.00,success,
rsi-oversold-bounce,ADAUSDT,8h,1,100.00,Infinity,0.23,0.00,0.00,3840.00,success,
rsi-oversold-bounce,ADAUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,ADAUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,XLMUSDT,4h,7,71.43,5.27,1.69,11.82,0.25,1200.00,success,
rsi-oversold-bounce,XLMUSDT,6h,9,55.56,2.94,1.66,5.70,0.46,1440.00,success,
rsi-oversold-bounce,XLMUSDT,8h,2,50.00,1.85,0.20,4.89,0.26,1440.00,success,
rsi-oversold-bounce,XLMUSDT,12h,2,50.00,1.14,0.04,2.54,0.38,1080.00,success,
rsi-oversold-bounce,XLMUSDT,1d,3,33.33,1.13,0.01,0.25,0.21,14400.00,success,
rsi-oversold-bounce,XMRUSDT,4h,2,50.00,2.58,0.32,6.25,0.22,1080.00,success,
rsi-oversold-bounce,XMRUSDT,6h,3,33.33,1.21,0.06,-0.18,0.43,840.00,success,
rsi-oversold-bounce,XMRUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,XMRUSDT,12h,1,0.00,0.00,-0.28,0.00,0.28,2880.00,success,
rsi-oversold-bounce,XMRUSDT,1d,2,50.00,1.17,0.09,0.80,0.59,8640.00,success,
rsi-oversold-bounce,NEARUSDT,4h,11,54.55,2.64,1.31,5.51,0.48,1461.82,success,
rsi-oversold-bounce,NEARUSDT,6h,2,50.00,3.36,0.50,5.97,0.22,720.00,success,
rsi-oversold-bounce,NEARUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,NEARUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,NEARUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,UNIUSDT,4h,5,0.00,0.00,-1.71,-34.38,1.71,1440.00,success,
rsi-oversold-bounce,UNIUSDT,6h,9,22.22,0.63,-0.81,-2.23,1.18,1640.00,success,
rsi-oversold-bounce,UNIUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,UNIUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,UNIUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
